NAME,PUBRID,SETTING,TREATMENT,NTREATMENT,CONTROL,NCONTROL,DOSE,DOSECLASS,COVIDSTATUS,AGE,DEATHPERCENT,LOCATION,BLINDING,TARGETN,TREATMENTDEATH,TREATMENTTOT,CONTROLDEATH,CONTROLTOT,GROUP,COMPLETION
REMAP-CAP,NCT02735707,ICU,HCQ,61,NO,81,"800 mg at 0 and 6 h, then 800 mg/day for up to 6 days",HD,CS,18,27.46,INT,NA,NA,17,61,22,81,ANP,CNP
,ChiCTR2000029559,Inpatient,HCQ,31,NO,31,200 mg twice a day for 5 days,LD,C,18,0,CH,NA,300,0,31,0,31,AP,CP
,ChiCTR2000029868,Inpatient,HCQ,75,NO,75,"1200 mg/day for 3 days, then 800 mg/day for 11–18 days",HD,C,18,0,CH,NA,360,0,75,0,75,AP,CP
,NCT04261517,Inpatient,HCQ,15,NO,15,400 mg/day for 5 days,LD,C,18,0,CH,NA,30,0,15,0,15,AP,CP
RECOVERY,NCT04381936,Inpatient,HCQ,1561,NO,3155,"800 mg at 0 h, then 800 mg after 6 h, then 800 mg/day for up to 9 days",HD,CS,18,25.67,EU,NA,12000,421,1561,790,3155,AP,CP
,ChiCTR2000030054,Inpatient,HCQ,18,NO,12,400 mg/day for 10 days,LD,C,18,0,CH,NA,100,0,18,0,12,AP,CP
NO COVID-19,NCT04316377,Inpatient,HCQ,27,NO,26,800 mg/day for 7 days,LD,C,18,3.77,NW,NA,202,1,27,1,26,AP,HP
,NCT04384380,Inpatient,HCQ,21,NO,12,"800 mg/day for 1 day, then 400 mg/day for 6 days",LD,C,20,0,TW,NA,45,0,21,0,12,AP,CP
,NCT04353336,Inpatient,HCQ,97,NO,97,"800 mg/day for 1 day, then 400 mg/day for 14 days",LD,C,0,5.67,EG,NA,40,6,97,5,97,AP,RP
COALITION I,NCT04322123,Inpatient,HCQ,221,NO,227,800 mg/day for 7 days,LD,CS,18,2.9,AMERICA,NA,630,7,221,6,227,AP,CP
TEACH,NCT04369742,Inpatient,HCQ,67,PLACEBO,61,"800 mg/day for 1 day, then 400 mg/day for 4 days",LD,C,12,10.16,US,NA,626,7,67,6,61,AP,TP
,NCT04491994,Inpatient,HCQ,349,NO,151,"400 mg twice a day for 1 day, then 200 mg twice a day for 4 days",LD,C,18,0,PAK,NA,540,0,349,0,151,AP,CP
WHO SOLIDARITY,2020-001366-11,Inpatient,HCQ,947,NO,906,"Day 1, 2000 mg (hour 0, 800 mg; hour 6, 800 mg; hour 12, 400 mg), thereafter 800 mg per day for 10 days",HD,C,18,10.15,INT,NA,10000,104,947,84,906,AP,TP
